[2025-09-19 06:51:17] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\029.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\029.jpg
[2025-09-19 06:51:17] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\030.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\030.jpg
[2025-09-19 06:51:17] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\031.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\031.jpg
[2025-09-19 06:51:17] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\032.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\032.jpg
[2025-09-19 06:51:17] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\033.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\033.jpg
[2025-09-19 06:51:17] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\034.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\034.jpg
[2025-09-19 06:51:17] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\035.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\035.jpg
[2025-09-19 06:51:17] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\036.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\036.jpg
[2025-09-19 06:51:17] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\037.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\037.jpg
[2025-09-19 06:51:17] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\038.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\038.jpg
[2025-09-19 06:51:18] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\039.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\039.jpg
[2025-09-19 06:51:18] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\040.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\040.jpg
[2025-09-19 06:51:18] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\041.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\041.jpg
[2025-09-19 06:51:18] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\042.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\042.jpg
[2025-09-19 06:51:18] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\043.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\043.jpg
[2025-09-19 06:51:18] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\044.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\044.jpg
[2025-09-19 06:51:18] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\045.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\045.jpg
[2025-09-19 06:51:18] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\046.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\046.jpg
[2025-09-19 06:51:18] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\047.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\047.jpg
[2025-09-19 06:51:18] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\048.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\048.jpg
[2025-09-19 06:51:18] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\049.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\049.jpg
[2025-09-19 06:51:18] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\050.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\050.jpg
